name,lon_min,lat_min,lon_max,lat_max

La Paz,-68.299255,-16.640139,-68.016014,-16.428511
Sucre, -65.331917,-19.067310,-65.214500,-18.980649
Tarija, -64.775391,-21.587851,-64.658318,-21.465530
Cochabamba,-66.353302,-17.480362,-65.978394,-17.281153
Potosi,-65.789394,-19.610573,-65.720730,-19.548790
Santa Cruz, -63.288116,-17.903609,-63.047791,-17.653837

